Start,Stop,Speaker
0.33471875,0.92534375,SPEAKER_00
2.5453437500000002,4.03034375,SPEAKER_00
2.7815937500000003,3.5578437500000004,SPEAKER_01
3.69284375,6.7809687499999995,SPEAKER_01
4.45221875,4.58721875,SPEAKER_00
6.7809687499999995,7.422218750000001,SPEAKER_00
7.422218750000001,7.523468750000001,SPEAKER_01
7.523468750000001,7.69221875,SPEAKER_00
7.69221875,7.72596875,SPEAKER_01
7.72596875,7.7428437500000005,SPEAKER_00
7.7428437500000005,7.759718750000001,SPEAKER_01
7.759718750000001,7.77659375,SPEAKER_00
7.77659375,7.92846875,SPEAKER_01
7.92846875,8.41784375,SPEAKER_00
8.89034375,13.14284375,SPEAKER_01
13.14284375,22.137218750000002,SPEAKER_04
18.711593750000002,23.75721875,SPEAKER_03
23.75721875,24.28034375,SPEAKER_04
24.887843750000002,44.682218750000004,SPEAKER_04
41.42534375,42.06659375,SPEAKER_00
44.20971875,44.462843750000005,SPEAKER_00
45.77909375,57.69284375,SPEAKER_04
58.31721875,74.90534375,SPEAKER_04
61.034093750000004,61.20284375000001,SPEAKER_00
75.69846875,88.62471875,SPEAKER_04
88.72596875,92.06721875000001,SPEAKER_04
92.84346875,97.68659375,SPEAKER_04
97.97346875000001,123.11721875,SPEAKER_04
123.13409375,123.16784375,SPEAKER_04
123.16784375,123.58971875,SPEAKER_00
123.58971875,150.82596875000002,SPEAKER_04
129.37784375,131.52096875,SPEAKER_00
134.67659375,135.77346875,SPEAKER_00
151.83846875,153.39096875,SPEAKER_04
154.57221875000002,156.10784375,SPEAKER_04
156.10784375,156.14159375,SPEAKER_00
156.14159375,156.27659375000002,SPEAKER_04
161.28846875000002,179.66534375,SPEAKER_01
168.32534375,168.46034375000002,SPEAKER_00
175.59846875000002,176.12159375000002,SPEAKER_00
179.46284375000002,179.61471875,SPEAKER_00
179.63159375,179.64846875,SPEAKER_00
179.66534375,181.11659375000002,SPEAKER_00
181.08284375000002,195.57846875,SPEAKER_01
181.96034375000002,182.02784375000002,SPEAKER_00
187.52909375000002,188.11971875,SPEAKER_00
193.89096875,193.97534375,SPEAKER_00
194.63346875000002,196.00034375,SPEAKER_00
196.03409375,220.99221875,SPEAKER_01
196.33784375000002,196.64159375,SPEAKER_00
197.92409375000003,198.12659375,SPEAKER_00
200.08409375000002,200.20221875000001,SPEAKER_00
211.20471875,212.68971875000003,SPEAKER_00
220.06409375,221.66721875000002,SPEAKER_00
221.90346875,249.88221875000002,SPEAKER_01
223.43909375,223.45596875,SPEAKER_00
223.92846875,224.33346875,SPEAKER_00
227.74221875,227.82659375,SPEAKER_00
250.47284375,251.02971875000003,SPEAKER_01
251.63721875000002,268.78221875,SPEAKER_01
268.96784375000004,271.02659375,SPEAKER_01
271.43159375,276.25784375,SPEAKER_01
271.85346875,271.87034375,SPEAKER_00
276.54471875,283.53096875,SPEAKER_01
279.97034375000004,280.54409375,SPEAKER_00
283.96971875,288.05346875000004,SPEAKER_01
288.40784375000004,299.61284375,SPEAKER_01
294.83721875000003,295.03971875,SPEAKER_00
295.05659375000005,295.07346875,SPEAKER_00
296.91284375000004,297.41909375,SPEAKER_00
298.34721875,298.54971875,SPEAKER_00
299.64659375,299.66346875,SPEAKER_01
299.93346875000003,308.03346875,SPEAKER_01
308.42159375,308.43846875,SPEAKER_01
308.43846875,309.53534375000004,SPEAKER_00
308.62409375000004,309.45096875,SPEAKER_01
310.63221875,312.21846875,SPEAKER_01
312.58971875000003,317.33159375,SPEAKER_01
316.52159375,317.07846875,SPEAKER_00
317.92221875,321.53346875,SPEAKER_01
320.62221875,320.77409375,SPEAKER_04
322.76534375,324.72284375000004,SPEAKER_01
323.28846875,323.77784375000005,SPEAKER_04
324.08159375,324.58784375000005,SPEAKER_04
325.60034375000004,325.66784375000003,SPEAKER_01
325.66784375000003,350.57534375,SPEAKER_04
335.23596875000004,335.38784375,SPEAKER_00
347.75721875000005,348.28034375000004,SPEAKER_00
350.81159375000004,355.30034375,SPEAKER_04
352.36409375,352.97159375,SPEAKER_01
357.37596875,363.26534375,SPEAKER_04
363.95721875000004,370.20096875,SPEAKER_01
366.53909375,366.55596875000003,SPEAKER_03
366.55596875000003,366.57284375,SPEAKER_04
366.57284375,366.58971875000003,SPEAKER_03
366.58971875000003,366.60659375,SPEAKER_04
366.60659375,366.79221875,SPEAKER_03
368.53034375000004,368.69909375000003,SPEAKER_03
368.71596875,368.86784375,SPEAKER_03
368.86784375,368.93534375,SPEAKER_04
368.93534375,369.05346875000004,SPEAKER_03
370.87596875,370.89284375,SPEAKER_01
370.89284375,371.55096875000004,SPEAKER_03
371.55096875000004,371.65221875000003,SPEAKER_01
371.65221875000003,371.66909375,SPEAKER_03
371.66909375,371.88846875,SPEAKER_01
371.88846875,372.15846875,SPEAKER_03
373.30596875000003,376.24221875,SPEAKER_03
376.27596875,376.63034375,SPEAKER_00
377.23784375,377.57534375,SPEAKER_00
377.57534375,389.28659375,SPEAKER_03
390.28221875,395.41221875,SPEAKER_01
393.03284375000004,394.38284375,SPEAKER_03
395.41221875,395.93534375,SPEAKER_03
395.93534375,399.02346875,SPEAKER_01
396.37409375000004,399.61409375000005,SPEAKER_03
399.02346875,399.25971875000005,SPEAKER_00
399.25971875000005,399.37784375,SPEAKER_01
400.91346875000005,403.63034375,SPEAKER_03
401.94284375,402.12846875,SPEAKER_01
402.12846875,402.19596875,SPEAKER_00
406.75221875000005,408.96284375000005,SPEAKER_00
406.95471875000004,407.27534375000005,SPEAKER_03
407.88284375,408.38909375000003,SPEAKER_03
408.38909375000003,408.45659375,SPEAKER_01
408.45659375,411.03846875000005,SPEAKER_03
408.96284375000005,410.61659375000005,SPEAKER_01
411.03846875000005,412.64159375,SPEAKER_01
414.39659375,417.60284375000003,SPEAKER_01
415.67909375000005,415.69596875,SPEAKER_00
415.69596875,416.10096875000005,SPEAKER_03
416.10096875000005,416.20221875000004,SPEAKER_00
417.85596875000005,422.78346875000005,SPEAKER_01
423.96471875000003,429.66846875000005,SPEAKER_01
430.69784375,434.05596875000003,SPEAKER_01
434.20784375000005,435.69284375,SPEAKER_01
435.84471875,436.70534375000005,SPEAKER_01
437.66721875,458.79471875,SPEAKER_01
439.57409375000003,440.31659375000004,SPEAKER_04
440.95784375000005,442.08846875,SPEAKER_04
456.60096875000005,458.44034375,SPEAKER_03
462.94596875,475.97346875000005,SPEAKER_03
465.76409375000003,465.89909375,SPEAKER_00
470.80971875000006,470.84346875000006,SPEAKER_02
470.84346875000006,472.39596875,SPEAKER_00
472.39596875,472.56471875000005,SPEAKER_02
472.56471875000005,473.03721875,SPEAKER_00
473.03721875,480.73221875,SPEAKER_02
483.01034375,490.99221875,SPEAKER_01
487.53284375000004,488.17409375000005,SPEAKER_00
488.17409375000005,488.22471875,SPEAKER_03
488.69721875000005,490.58721875000003,SPEAKER_03
491.24534375,491.39721875000004,SPEAKER_01
491.39721875000004,496.15596875000006,SPEAKER_03
492.54471875,493.00034375,SPEAKER_01
497.52284375000005,513.14909375,SPEAKER_03
513.25034375,518.34659375,SPEAKER_03
519.0890937500001,525.5690937500001,SPEAKER_03
525.78846875,527.5265937500001,SPEAKER_03
528.45471875,535.08659375,SPEAKER_03
535.10346875,537.31409375,SPEAKER_03
537.8034687500001,543.37221875,SPEAKER_03
543.8447187500001,562.2553437500001,SPEAKER_03
559.96034375,560.24721875,SPEAKER_00
562.2553437500001,562.9978437500001,SPEAKER_00
563.20034375,581.1047187500001,SPEAKER_03
581.2903437500001,581.93159375,SPEAKER_00
581.9653437500001,582.1003437500001,SPEAKER_00
582.4209687499999,582.45471875,SPEAKER_00
582.45471875,583.06221875,SPEAKER_03
583.29846875,585.8803437500001,SPEAKER_00
585.98159375,593.00159375,SPEAKER_03
593.9297187500001,594.28409375,SPEAKER_03
594.43596875,594.45284375,SPEAKER_03
594.45284375,595.1784687500001,SPEAKER_00
594.7397187500001,603.98721875,SPEAKER_03
596.12346875,596.25846875,SPEAKER_00
604.98284375,605.7590937500001,SPEAKER_03
605.84346875,611.04096875,SPEAKER_03
611.2265937500001,612.0703437500001,SPEAKER_00
611.3615937500001,615.63096875,SPEAKER_03
615.96846875,621.28409375,SPEAKER_03
619.2084687500001,619.57971875,SPEAKER_00
621.6215937500001,633.51846875,SPEAKER_03
628.8103437500001,629.40096875,SPEAKER_00
630.44721875,630.4640937500001,SPEAKER_00
630.4809687500001,630.54846875,SPEAKER_00
633.51846875,633.82221875,SPEAKER_04
633.82221875,633.8897187499999,SPEAKER_03
634.0078437500001,634.4128437500001,SPEAKER_03
634.8684687500001,640.4878437500001,SPEAKER_03
641.0615937499999,651.76034375,SPEAKER_03
650.08971875,650.2922187500001,SPEAKER_00
652.51971875,673.3940937500001,SPEAKER_03
675.4697187500001,675.9253437500001,SPEAKER_00
676.26284375,676.4484687500001,SPEAKER_00
676.4484687500001,676.7690937500001,SPEAKER_03
676.7690937500001,676.7859687499999,SPEAKER_00
676.95471875,676.97159375,SPEAKER_00
676.97159375,676.98846875,SPEAKER_04
676.98846875,677.14034375,SPEAKER_00
677.14034375,683.97471875,SPEAKER_04
685.0715937500001,685.3584687500002,SPEAKER_00
685.3584687500002,691.9397187500001,SPEAKER_04
685.40909375,685.4428437500001,SPEAKER_00
686.77596875,686.97846875,SPEAKER_00
687.0290937500001,687.4678437500002,SPEAKER_00
690.6740937500001,702.6215937500001,SPEAKER_00
701.0859687500001,705.0347187500001,SPEAKER_03
705.0347187500001,712.54409375,SPEAKER_01
708.20721875,709.5065937500001,SPEAKER_00
710.3334687500001,710.3503437500001,SPEAKER_04
710.3503437500001,711.02534375,SPEAKER_00
711.02534375,711.3797187499999,SPEAKER_04
